time,COMPEMNT,,
5.77,6.6405,53.1405,53.1405
5.78,6.6405,53.1405,53.1405
5.79,6.6405,53.1405,53.1405
5.8,6.6405,53.1405,53.1405
5.81,6.59521,53.09521,53.09521
5.82,6.59521,53.09521,53.09521
5.83,6.59521,53.09521,53.09521
5.84,6.59521,53.09521,53.09521
5.85,6.59521,53.09521,53.09521
5.86,6.59521,53.09521,53.09521
5.87,6.59521,53.09521,53.09521
5.88,6.59521,53.09521,53.09521
5.89,6.59521,53.09521,53.09521
5.9,6.59521,53.09521,53.09521
5.91,6.5939,53.0939,53.0939
5.92,6.5939,53.0939,53.0939
5.93,6.5939,53.0939,53.0939
5.94,6.5939,53.0939,53.0939
5.95,6.5939,53.0939,53.0939
5.96,6.5939,53.0939,53.0939
5.97,6.5939,53.0939,53.0939
5.98,6.5939,53.0939,53.0939
5.99,6.5939,53.0939,53.0939
6,6.5939,53.0939,53.0939
6.01,6.61394,53.11394,53.11394
6.02,6.61394,53.11394,53.11394
6.03,6.61394,53.11394,53.11394
6.04,6.61394,53.11394,53.11394
6.05,6.62153,53.12153,53.12153
6.06,6.62153,53.12153,53.12153
6.07,6.62153,53.12153,53.12153
6.08,6.62153,53.12153,53.12153
6.09,6.62153,53.12153,53.12153
6.1,6.54879,53.04879,53.04879
6.11,6.54879,53.04879,53.04879
6.12,6.54879,53.04879,53.04879
6.13,6.54879,53.04879,53.04879
6.14,6.54879,53.04879,53.04879
6.15,6.62153,53.12153,53.12153
6.16,6.62153,53.12153,53.12153
6.17,6.62153,53.12153,53.12153
6.18,6.62153,53.12153,53.12153
6.19,6.62153,53.12153,53.12153
6.2,6.62153,53.12153,53.12153
6.21,6.54879,53.04879,53.04879
6.22,6.54879,53.04879,53.04879
6.23,6.54879,53.04879,53.04879
6.24,6.54879,53.04879,53.04879
6.25,6.54879,53.04879,53.04879
6.26,6.52856,53.02856,53.02856
6.27,6.52856,53.02856,53.02856
6.28,6.52856,53.02856,53.02856
6.29,6.52856,53.02856,53.02856
6.3,6.52856,53.02856,53.02856
6.31,6.52856,53.02856,53.02856
6.32,6.56215,53.06215,53.06215
6.33,6.56215,53.06215,53.06215
6.34,6.56215,53.06215,53.06215
6.35,6.56215,53.06215,53.06215
6.36,6.6455,53.1455,53.1455
6.37,6.6455,53.1455,53.1455
6.38,6.6455,53.1455,53.1455
6.39,6.6455,53.1455,53.1455
6.4,6.6455,53.1455,53.1455
6.41,6.65807,53.15807,53.15807
6.42,6.65807,53.15807,53.15807
6.43,6.65807,53.15807,53.15807
6.44,6.65807,53.15807,53.15807
6.45,6.65807,53.15807,53.15807
6.46,6.65807,53.15807,53.15807
6.47,6.76267,53.26267,53.26267
6.48,6.76267,53.26267,53.26267
6.49,6.76267,53.26267,53.26267
6.5,6.76267,53.26267,53.26267
6.51,6.76267,53.26267,53.26267
6.52,6.76267,53.26267,53.26267
6.53,6.76267,53.26267,53.26267
6.54,6.89153,53.39153,53.39153
6.55,6.89153,53.39153,53.39153
6.56,6.89153,53.39153,53.39153
6.57,6.89153,53.39153,53.39153
6.58,6.89153,53.39153,53.39153
6.59,7.02807,53.52807,53.52807
6.6,7.02807,53.52807,53.52807
6.61,7.02807,53.52807,53.52807
6.62,7.02807,53.52807,53.52807
6.63,7.02807,53.52807,53.52807
6.64,7.08963,53.58963,53.58963
6.65,7.08963,53.58963,53.58963
6.66,7.08963,53.58963,53.58963
6.67,7.08963,53.58963,53.58963
6.68,7.08963,53.58963,53.58963
6.69,7.20195,53.70195,53.70195
6.7,7.20195,53.70195,53.70195
6.71,7.20195,53.70195,53.70195
6.72,7.20195,53.70195,53.70195
6.73,7.20195,53.70195,53.70195
6.74,7.365,53.865,53.865
6.75,7.365,53.865,53.865
6.76,7.365,53.865,53.865
6.77,7.365,53.865,53.865
6.78,7.365,53.865,53.865
6.79,7.365,53.865,53.865
6.8,7.57761,54.07761,54.07761
6.81,7.57761,54.07761,54.07761
6.82,7.57761,54.07761,54.07761
6.83,7.57761,54.07761,54.07761
6.84,7.57761,54.07761,54.07761
6.85,7.60662,54.10662,54.10662
6.86,7.60662,54.10662,54.10662
6.87,7.60662,54.10662,54.10662
6.88,7.60662,54.10662,54.10662
6.89,7.60662,54.10662,54.10662
